Table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state,Afghan,African,American (New),American (Traditional),Arabian,Argentine,Armenian,Asian Fusion,Australian,Austrian,Bangladeshi,Barbeque,Basque,Belgian,Brasseries,Brazilian,Breakfast & Brunch,British,Buffets,Burgers,Burmese,Cafes,Cafeteria,Cajun/Creole,Cambodian,Caribbean,Catalan,Cheesesteaks,Chicken Shop,Chicken Wings,Chinese,Comfort Food,Creperies,Cuban,Czech,Delis,Diners,Dinner Theater,Ethiopian,Fast Food,Filipino,Fish & Chips,Fondue,Food Court,Food Stands,French,Game Meat,Gastropubs,German,Gluten-Free,Greek,Guamanian,Halal,Hawaiian,Himalayan/Nepalese,Honduran,Hong Kong Style Cafe,Hot Dogs,Hot Pot,Hungarian,Iberian,Indian,Indonesian,Irish,Italian,Japanese,Kebab,Korean,Kosher,Laotian,Latin American,Live/Raw Food,Malaysian,Mediterranean,Mexican,Middle Eastern,Modern European,Mongolian,Moroccan,New Mexican Cuisine,Nicaraguan,Noodles,Pakistani,Pan Asia,Persian/Iranian,Peruvian,Pizza,Polish,Polynesian,Pop-Up Restaurants,Portuguese,Poutineries,Russian,Salad,Sandwiches,Scandinavian,Scottish,Seafood,Singaporean,Slovakian,Soul Food,Soup,Southern,Spanish,Sri Lankan,Steakhouses,Supper Clubs,Sushi Bars,Syrian,Taiwanese,Tapas Bars,Tapas/Small Plates,Tex-Mex,Thai,Turkish,Ukrainian,Uzbek,Vegan,Vegetarian,Vietnamese,Waffles,Wraps,Total
DOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4
GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL,0,3,0,0,4.337078652,4.25,0,3.525382263,0,0,0,4.013969171,3.406832298,0,0,0,3.557661072,0,2.572769953,3.228861789,0,3.779985283,3.142857143,3.436170213,0,3.753363229,0,3.636363636,2.290322581,3.017725258,3.580573951,3.061662198,3.641843972,0,0,3.821793417,3.062388592,0,0,2.825925926,0,3.810344828,0,4.575757576,3.888888889,3.742857143,0,3.443319838,3.863636364,3.682593857,3.52173913,0,0,4.060606061,0,0,0,3.272131148,3.547945205,0,0,3.820843091,0,3.417266187,3.455971049,3.668046929,0,3.551088777,4.262626263,4.083333333,3.880794702,0,3.99378882,3.800387597,3.768364929,3.45,3.774647887,3.197916667,3.395348837,4.631578947,0,3.917808219,3.737003058,3.977011494,0,0,3.447448462,0,0,0,0,0,0,3.531396439,3.380712626,0,0,3.431630972,0,0,3.371212121,3.006535948,3.15625,3.397014925,0,3.179310345,0,3.613958028,0,4.266940452,3.465384615,0,3.066945607,3.716605166,3.47826087,0,0,3.812967581,3.85395189,3.765536723,0,3.972727273,255.0519675
NC,4.099502488,4.224719101,0,0,3.545454545,3.809116809,4.423529412,3.749690722,0,0,0,3.812794751,3.81773399,3.647058824,3.963541667,3.72997416,3.767958125,3.455259027,3.359108781,3.430936886,3.880952381,3.968813216,4.403846154,3.817659923,0,3.769201521,0,3.742917548,3.216666667,3.328740527,3.494894543,3.750791418,4.168051708,3.431226766,0,3.858959078,3.71440187,2.666666667,4.323660714,3.076284845,4.9,3.377521614,4.04136253,3,4.048973144,3.99315738,0,3.80663249,4.165456013,3.702260327,3.820026394,0,4.109512761,4.026978417,4.104545455,3.590361446,0,3.751414205,4.102362205,4.021568627,0,3.767363704,0,3.878599222,3.657891103,3.690929099,3.612565445,3.857774968,3.982142857,4.152173913,3.9153692,4.164402174,3.832869081,4.010839059,3.581775307,4.268195719,4.137524558,3.300653595,3.905982906,3.826589595,0,3.94493729,3.816787004,4.031476998,3.882653061,4.263138818,3.636571081,4.525862069,0,3.590909091,4.764705882,0,4.539325843,3.668398505,3.674504737,3.922374429,3.666666667,3.724630833,0,0,3.780241935,3.601187648,3.80079639,3.937597504,0,3.615850303,0,3.745629324,0,3.775026911,4.067708333,3.955993052,3.422183508,3.879010974,3.764044944,0,0,4.145615982,3.991539597,4.04492592,3.388405797,3.872170439,379.9967602
NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.875,0,0,0,0,0,0,0,1.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.625
NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.428571429
NV,4.1952,3.551475882,0,0,3.389937107,4.246341463,4.393548387,3.940735413,0,2.818181818,4.013333333,3.925614622,3.228070175,3.480392157,3.83988006,3.896360337,3.859396858,3.696080943,3.452193142,3.663858412,0,3.956312839,3.781818182,3.855655407,0,3.982868142,0,3.904904774,3.739482068,3.384561443,3.564121108,3.946428571,4.223803594,3.747240618,0,3.820863391,3.64791313,3.643312102,4.024721879,3.255708405,3.682832872,3.652123036,4.20990099,3.579310345,4.097613549,4.011064368,0,3.884173263,3.936703975,3.930667104,4.105104947,4.376847291,3.905447071,4.0194683,4.042128603,3.472727273,2.616766467,3.796821898,4.120147874,3.5,0,3.750352609,0,3.610444063,3.748089778,4.000915525,4.299457995,3.97858779,3.981900452,4.162409639,4.052602436,4.181313375,3.943291139,4.052985965,3.73762716,4.141122247,4.148107515,4.176012461,4.258802817,4.108035714,3.735294118,3.961765728,3.766875317,2.987767584,4.186512524,4.148688047,3.745423036,4.524752475,0,4.157534247,4.040437158,4.493256262,3.989208633,3.859593887,3.791858264,3.411378556,0,3.846121394,3.811082024,0,3.916196307,4.001660145,3.834570939,4.047387775,0,3.87627798,0,3.921070581,0,3.774174246,4.033891814,4.143512,3.732432937,3.981766211,4.149122807,4.160714286,0,4.217661631,4.062181472,3.660770763,4.190412272,4.196907901,407.700485
NY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.470588235,0,2.5,2.833333333,0,0,0,0,0,0,0,0,0,0,2.5,3.75,0,0,0,3,3.941176471,0,0,2.944444444,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,3.142857143,0,0,0,0,0,0,3.285714286,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,4.5,0,0,0,0,0,0,3.771428571,0,0,0,0,0,0,4.352941176,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.76248366
