GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "12000","Florida",5,SAINC45,76,"...","   Other grains","Thousands of dollars",12938,13639,20582,20638,24581,31054,35078,33838,36618,38825,37883,38171,0,0,0,0,0,0,0,0,0,34,51,87,49,70,68,65,61,22,23,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
 "12000","Florida",5,SAINC45,80,"...","  Hay, silage, etc.","Thousands of dollars",1498,1579,2217,2344,3488,5129,5403,5686,6773,8453,9211,10911,12677,12216,13396,15714,16138,11274,8356,8548,8875,8521,13528,17589,15002,18325,16249,16307,18846,23667,26751,17359,15325,16577,15109,15440,21954,31952,46441,41727,34481,27574,28848,42921,45411,52588,57418,63302,60713,60940
 "12000","Florida",5,SAINC45,100,"...","  Vegetables","Thousands of dollars",285860,266230,300713,341194,381703,418930,490313,538523,542324,625057,757286,764452,835535,899193,1052729,1020738,1045982,1096570,1286872,1186913,1543965,1127704,1384788,1743225,1680736,1420541,1316868,1375363,1480124,1586279,1403290,1436032,1423335,1461742,1477742,1447840,1863035,1591271,1777921,1658089,1510622,1639495,1339329,1207425,1419660,1308100,1326185,1185270,1194709,1071308
 "12000","Florida",5,SAINC45,110,"...","  Fruits and nuts","Thousands of dollars",462370,419828,481261,596297,666548,627064,703497,742529,915672,1296189,1346911,1488613,1333510,1268763,1281803,1290969,1359936,1211747,1418313,1932438,1890959,1578069,1711874,1492358,1487814,1619349,1713437,1748667,1697684,2162030,1757079,1887243,1553488,1649523,1645930,1447817,1673165,2056335,2135405,2146852,1932317,1958991,2277592,2427533,2017410,1913953,1752883,1644740,1570116,1052671
 "12000","Florida",5,SAINC45,111,"...","  Greenhouse, nursery and mushroom products","Thousands of dollars",96093,100431,108666,117685,134632,145941,226198,245963,254164,327894,355410,432777,453251,571581,670149,772440,821774,913510,969203,984230,993391,991249,1094782,1146228,1059262,1124442,1155151,1297398,1409135,1402159,1457324,1531983,1635227,1630319,1651155,1725579,1877140,1775852,2117672,2060420,2068411,2132963,2179246,2334411,2269308,2190661,2312922,2328534,2314993,2316723
 "12000","Florida",5,SAINC45,112,"...","  Forest and maple products","Thousands of dollars",5266,5687,5424,7636,11059,11796,8952,12796,13165,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "12000","Florida",5,SAINC45,113,"...","  Tobacco","Thousands of dollars",31519,30774,26808,27120,28956,36662,28671,36351,30698,30907,29918,29915,40693,35956,29812,32304,27780,21641,22800,27673,30327,32020,26392,31729,30638,27248,30907,31021,32293,29056,26414,24815,17581,18244,19577,17226,8305,4319,5100,0,0,0,0,0,0,0,0,0,0,0
 "12000","Florida",5,SAINC45,114,"...","  Cotton","Thousands of dollars",735,1260,1195,1566,3525,3077,918,2767,1648,1797,2111,3424,5650,5906,5824,8800,6663,7736,14058,7807,13885,15690,18072,20028,24134,38301,38696,43730,43559,31821,24864,31102,27019,23916,29780,32858,31510,34921,42333,32273,42685,60540,66075,93676,75257,83380,58511,59622,72294,52288
 "12000","Florida",5,SAINC45,115,"...","  Other crops","Thousands of dollars",54389,57447,69424,82070,140519,239568,320792,191956,149272,171706,199706,247005,459366,453073,420675,427072,418813,440467,459751,501114,505737,546259,548790,522657,539622,558031,547970,558173,530132,578057,601812,538351,559449,557714,632897,625384,545694,492902,526504,512270,514257,530306,541813,580391,564204,544651,575048,578929,575563,597456
 "12000","Florida",5,SAINC45,120,"...","Other income","Thousands of dollars",39482,38674,36884,42219,46042,45559,46586,39466,56394,64687,53452,59903,63240,77493,75942,101417,94834,79672,117732,126757,127235,139642,143727,146269,207107,157769,173283,146390,151785,157916,248169,259023,295951,288047,324646,425740,636008,406276,346331,410959,234059,588294,497943,622385,406893,517911,417936,464163,1041440,625322
