GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "04000","Arizona",6,SAINC1,2,"...","Population (persons) 1/","Number of persons",430000,434000,429000,426000,426000,428000,434000,443000,453000,466000,484000,499000,492000,530000,661000,618000,591000,618000,652000,690000,714000,756000,785000,842000,894000,933000,987000,1053000,1125000,1193000,1261000,1321000,1407000,1471000,1521000,1556000,1584000,1614000,1646000,1682000,1737000,1794912,1896108,2008847,2125281,2224342,2286348,2347976,2427310,2517852,2638582,2737774,2810108,2889860,2968924,3067134,3183539,3308261,3437103,3535183,3622184,3684097,3788576,3915740,4065440,4245089,4432499,4586940,4736990,4883342,5023823,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6407774,6473497,6556629,6634999,6733840,6833596,6945452,7048876,7171646
 "04000","Arizona",6,SAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",598,518,430,322,309,362,416,462,506,479,491,506,649,953,1045,1076,1150,1131,1199,1354,1343,1408,1677,1779,1778,1766,1833,1937,1984,1988,2076,2162,2210,2277,2315,2427,2528,2701,2879,3233,3643,4020,4354,4711,5145,5546,5825,6309,6858,7768,8712,9671,10764,11141,11941,13060,14000,14733,15280,16044,16803,17323,17731,18309,18950,19869,20753,21737,22804,24176,24813,26235,26803,27149,28161,30012,32220,34686,35789,35563,33418,33635,34968,36123,36602,38226,39676,40671,42505,44329
 "05000","Arkansas",5,SAINC1,1,"...","Personal income (millions of dollars)","Millions of dollars",560.4,416.5,381.8,278.5,283.2,341.8,386.0,460.2,481.6,439.1,479.1,502.0,676.3,973.7,1051.3,1236.4,1324.1,1371.6,1357.5,1607.5,1508.8,1620.7,1843.6,1917.2,1929.4,1908.2,2073.9,2149.6,2218.9,2311.1,2522.3,2548.0,2771.6,2965.6,3142.2,3412.3,3602.1,4004.8,4254.3,4600.9,5128.5,5626.5,6263.1,7071.2,8376.1,9353.5,10292.1,11378.9,12661.8,14668.8,16088.0,17388.3,19702.6,20702.3,21934.8,24458.4,25982.3,27303.7,28434.8,30505.9,32721.2,34457.5,36459.1,39714.4,41648.4,44288.6,47164.7,50047.9,52508.0,55736.1,57973.4,60969.9,64168.1,65661.6,69547.4,74033.0,78000.3,83068.2,88508.3,91812.1,90246.0,93290.5,99571.5,106984.7,107240.7,113545.5,117180.6,120059.5,124683.8,130296.7
 "05000","Arkansas",5,SAINC1,2,"...","Population (persons) 1/","Number of persons",1852000,1859000,1848000,1836000,1854000,1878000,1890000,1892000,1903000,1928000,1948000,1955000,1966000,1983000,1839000,1771000,1758000,1805000,1835000,1825000,1844000,1908000,1901000,1838000,1780000,1734000,1725000,1704000,1733000,1726000,1756000,1789000,1806000,1853000,1875000,1897000,1894000,1899000,1901000,1902000,1913000,1930077,1972028,2018116,2058491,2100385,2158291,2168688,2207228,2241019,2269115,2288738,2293204,2294254,2305766,2319767,2327046,2331988,2342357,2342655,2346354,2356586,2383144,2415984,2456303,2494019,2535399,2572109,2601090,2626289,2651860,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2921978,2940407,2952109,2959549,2967726,2978407,2990410,3002997,3013825
 "05000","Arkansas",5,SAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",303,224,207,152,153,182,204,243,253,228,246,257,344,491,572,698,753,760,740,881,818,849,970,1043,1084,1100,1202,1262,1280,1339,1436,1424,1535,1600,1676,1799,1902,2109,2238,2419,2681,2915,3176,3504,4069,4453,4769,5247,5736,6546,7090,7597,8592,9024,9513,10543,11165,11708,12139,13022,13946,14622,15299,16438,16956,17758,18602,19458,20187,21222,21861,22762,23840,24266,25524,26924,28047,29438,31070,31940,31153,31927,33863,36240,36235,38260,39343,40148,41520,43233
 "06000","California",8,SAINC1,1,"...","Personal income (millions of dollars)","Millions of dollars",5495.5,5079.4,4387.5,3441.4,3277.3,3666.5,4107.3,4923.2,5231.8,5188.3,5362.0,5947.6,7519.7,10344.7,13700.6,14963.9,15585.0,16590.5,17086.0,18274.5,18601.7,20788.1,24117.2,26794.1,28728.1,29603.7,32550.0,35615.7,38269.5,40252.4,44031.4,46521.1,49266.6,53085.5,56740.1,61404.6,65617.5,71356.0,76731.6,84055.7,92160.0,99417.5,105987.2,116351.1,127777.3,142507.4,157639.9,174924.8,194032.9,220640.1,250173.9,284308.0,319557.2,342342.5,369808.8,410796.4,444066.9,476682.2,513377.1,558041.1,600755.1,643684.9,665992.6,702449.1,719731.0,742429.1,780642.8,829666.6,882677.3,959949.7,1026419.3,1133965.4,1173768.8,1193118.0,1248506.5,1329404.0,1407285.5,1516057.5,1581573.3,1606579.9,1554013.3,1628457.6,1737940.0,1852397.5,1886379.1,2021038.5,2171947.4,2263889.8,2370112.4,2514129.3
 "06000","California",8,SAINC1,2,"...","Population (persons) 1/","Number of persons",5531000,5711000,5824000,5894000,5963000,6060000,6175000,6341000,6528000,6656000,6785000,6950000,7269000,7814000,8623000,9261000,9619000,9727000,9912000,10064000,10337000,10677000,11134000,11635000,12251000,12746000,13133000,13713000,14264000,14880000,15467000,15870000,16497000,17072000,17668000,18151000,18585000,18858000,19176000,19394000,19711000,20023181,20345575,20584794,20867737,21172548,21536715,21934505,22350247,22838960,23255069,23800800,24285933,24820007,25360023,25844397,26441107,27102238,27777160,28464250,29218165,29959515,30470736,30974659,31274928,31484435,31696582,32018834,32486010,32987675,33499204,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37320903,37641823,37960782,38280824,38625139,38953142,39209127,39399349,39557045
 "06000","California",8,SAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",994,889,753,584,550,605,665,776,801,779,790,856,1034,1324,1589,1616,1620,1706,1724,1816,1800,1947,2166,2303,2345,2323,2478,2597,2683,2705,2847,2931,2986,3110,3211,3383,3531,3784,4001,4334,4676,4965,5209,5652,6123,6731,7320,7975,8681,9661,10758,11945,13158,13793,14582,15895,16795,17588,18482,19605,20561,21485,21857,22678,23013,23581,24629,25912,27171,29100,30640,33364,34043,34214,35415,37369,39279,42088,43629,43890,42044,43634,46170,48798,49277,52324,55758,57739,60156,63557
 "08000","Colorado",7,SAINC1,1,"...","Personal income (millions of dollars)","Millions of dollars",635.6,596.8,498.5,380.3,378.4,399.5,480.0,590.4,589.5,564.5,581.4,619.7,736.0,1038.5,1228.2,1221.3,1350.2,1472.3,1695.8,1880.6,1914.6,2098.9,2493.8,2692.5,2725.8,2808.7,3059.7,3376.0,3699.1,3787.1,4068.0,4353.4,4683.9,4942.1,5174.4,5474.2,5840.6,6275.8,6763.5,7502.7,8438.8,9540.2,10759.7,12176.1,13923.1,15609.2,17249.7,18981.3,21174.2,24413.5,27979.3,32050.8,36882.9,40505.9,43694.2,47644.6,50483.6,52445.7,54400.0,57556.6,62010.1,65667.2,69601.9,75599.1,81812.1,87983.8,95648.8,103235.8,111207.8,123101.2,133020.5,147924.9,154999.8,155404.1,158210.9,164106.0,175273.0,189475.6,201875.5,208738.0,198800.2,205372.4,223153.2,237141.5,249281.6,271307.5,284233.9,289580.6,310754.5,332942.6
 "08000","Colorado",7,SAINC1,2,"...","Population (persons) 1/","Number of persons",1008000,1040000,1056000,1066000,1071000,1075000,1078000,1090000,1104000,1112000,1120000,1130000,1124000,1133000,1151000,1124000,1113000,1196000,1236000,1263000,1295000,1325000,1326000,1365000,1431000,1493000,1546000,1625000,1664000,1667000,1710000,1769000,1844000,1899000,1936000,1970000,1985000,2007000,2053000,2120000,2166000,2223979,2303502,2404576,2495803,2541318,2586144,2632244,2696007,2766725,2849181,2908803,2977899,3061562,3133634,3169995,3208726,3237448,3260477,3262280,3275815,3307618,3387119,3495939,3613734,3724168,3826653,3919972,4018293,4116639,4226018,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5048281,5121771,5193721,5270482,5351218,5452107,5540921,5615902,5695564
