GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "09000","Connecticut",1,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",2744984,2709261,3938537,3345478,3102077,3826678,4536502,4071981,5481763,5361762,5526089,5562966,5728133,5830408,6842866,7651980,8813579,10336291,11466625,8858765,10852153,11364222,13193727,12506750,12949688,13227365,12747791,14795352,17501067
 "10000","Delaware",2,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",983326,1098117,1176111,1340759,1454163,1530248,1584704,1585966,1815456,1899521,2161913,2331765,2442556,2618309,2833404,3041494,3279928,3569221,3721221,3726623,3842629,4132257,4341666,4436688,4580046,4754200,4968895,5164116,5372559
 "10000","Delaware",2,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",1671352,1779551,1900689,2021307,2176102,2378121,2633298,2931441,3271316,3595509,3951900,4141061,4203256,4418725,4773577,5130177,5600700,5735394,5937489,5267711,5576898,6286424,6506944,6537305,7049467,7382647,7254534,7546237,7469186
 "10000","Delaware",2,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-688026,-681434,-724578,-680548,-721939,-847873,-1048594,-1345475,-1455860,-1695988,-1789987,-1809296,-1760700,-1800416,-1940173,-2088683,-2320772,-2166173,-2216268,-1541088,-1734269,-2154167,-2165278,-2100617,-2469421,-2628447,-2285639,-2382121,-2096627
 "11000","District of Columbia",2,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",2083068,2204540,2351407,2470385,2618703,2765895,3009928,3194315,3467840,3853186,4638938,4896591,4968983,5152774,5487824,5745205,5939383,6183342,6282215,6486268,6772888,7170347,7460301,7389521,7590553,7935462,8114021,8744023,9146921
 "11000","District of Columbia",2,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",20066364,21122540,22443474,23119766,23639835,23828996,24066634,24876503,26258892,28727297,30124605,32121387,34455145,36761333,39591186,41921156,43253950,45368896,47154663,47581638,50083716,52737000,52804152,52315732,53863643,55640788,57671588,59931718,62867776
 "11000","District of Columbia",2,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-17983296,-18918000,-20092067,-20649381,-21021132,-21063101,-21056706,-21682188,-22791052,-24874111,-25485667,-27224796,-29486162,-31608559,-34103362,-36175951,-37314567,-39185554,-40872448,-41095370,-43310828,-45566653,-45343851,-44926211,-46273090,-47705326,-49557567,-51187695,-53720855
 "12000","Florida",5,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",1320039,1376890,1478602,1550623,1640397,1736708,1852901,1999439,2190262,2370898,2603875,2766945,2874444,3044458,3282044,3559685,3873648,4237094,4443369,4201551,4314768,4564802,4719413,4773101,4985770,5210554,5335149,5541957,5802829
 "12000","Florida",5,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",687250,699847,735213,757214,786348,815221,858565,904748,969086,1017804,1087620,1148541,1198436,1271838,1364409,1479992,1575841,1640457,1656968,1557779,1588410,1633254,1702438,1721449,1775024,1872917,1945454,2053227,2166697
 "12000","Florida",5,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",632789,677043,743389,793409,854049,921487,994336,1094691,1221176,1353094,1516255,1618404,1676008,1772620,1917635,2079693,2297807,2596637,2786401,2643772,2726358,2931548,3016975,3051652,3210746,3337637,3389695,3488730,3636132
 "13000","Georgia",5,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",1699498,1765333,1935048,2057878,2148346,2226428,2347420,2483790,2633620,2880792,3088694,3201395,3291371,3475852,3704800,3974026,4227130,4521680,4637868,4407776,4587971,4822576,5028958,5122801,5324782,5666127,5721289,6055325,6259915
 "13000","Georgia",5,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",1812122,1896962,2113210,2239492,2385237,2566757,2722120,2931867,3218863,3480661,3821098,3978111,4112340,4315826,4503443,4755547,5013524,5298670,5334548,5332662,5536016,6005647,6368003,6636974,6932917,7228474,7533470,7810202,8066478
 "13000","Georgia",5,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-112624,-131629,-178162,-181614,-236891,-340329,-374700,-448077,-585243,-599869,-732404,-776716,-820969,-839974,-798643,-781521,-786394,-776990,-696680,-924886,-948045,-1183071,-1339045,-1514173,-1608135,-1562347,-1812181,-1754877,-1806563
 "15000","Hawaii",8,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "15000","Hawaii",8,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "15000","Hawaii",8,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "16000","Idaho",7,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",350747,391294,436675,479958,532314,574417,635182,703230,786579,876435,984056,990781,994107,1027147,1077643,1107249,1162672,1236266,1280503,1330761,1421400,1585753,1752032,1845063,1944255,1975039,2064207,2203666,2306641
 "16000","Idaho",7,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",193638,213093,240865,262874,286436,289133,304682,325775,340839,366159,459808,474616,493491,515664,557856,594201,673808,725813,718706,675758,697239,715776,653784,714454,711324,778643,813119,851124,871907
 "16000","Idaho",7,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",157109,178201,195810,217084,245878,285284,330500,377455,445740,510276,524248,516165,500616,511483,519787,513048,488864,510453,561797,655003,724161,869977,1098248,1130609,1232931,1196396,1251088,1352542,1434734
 "17000","Illinois",3,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",4129226,4364953,4729959,4894199,5257487,5562180,5931463,6423047,7016961,7508532,8122496,8352531,8505123,8804951,9261612,9732817,10372592,10657475,11334653,10511986,10859763,11608537,12372551,12699243,13095338,13628710,13883090,14358470,15033792
 "17000","Illinois",3,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",4401029,4687125,5139415,5485510,5942438,6490588,6866366,7375304,8051021,8654759,9502039,9914077,10173895,10398188,10893185,11502808,12205419,12964545,13105811,12604771,12999301,14178673,14784562,15377284,15439397,16151928,16531428,17470710,18322541
 "17000","Illinois",3,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-271803,-322172,-409456,-591311,-684951,-928408,-934903,-952257,-1034060,-1146227,-1379543,-1561546,-1668772,-1593237,-1631573,-1769991,-1832827,-2307070,-1771158,-2092785,-2139538,-2570136,-2412011,-2678041,-2344059,-2523218,-2648338,-3112240,-3288749
 "18000","Indiana",3,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",3448706,3608452,3970717,4238776,4583275,4954533,5231748,5610680,6031924,6527175,7092403,7400587,7588439,7858367,8325525,8778449,9184487,9703035,9715910,9240103,9294942,9836961,10151862,10588834,10789376,11501143,11978269,12700774,13318629
 "18000","Indiana",3,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",1961306,2113534,2324311,2372828,2586645,2676395,2814151,3063926,3457756,3701024,3977929,4040658,4157053,4343143,4524435,4673421,4862398,5007506,5029933,4639466,4830293,5114575,5422909,5357797,5610757,5723938,6039488,6324081,6506996
 "18000","Indiana",3,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",1487400,1494918,1646406,1865948,1996630,2278138,2417597,2546754,2574168,2826151,3114474,3359929,3431386,3515224,3801090,4105028,4322089,4695529,4685977,4600637,4464649,4722386,4728953,5231037,5178619,5777205,5938781,6376693,6811633
